"Date Inserted","Reporting Date","Sale Month","Store","Artist","Title","ISRC","UPC","Quantity","Team Percentage","Source Type","Country of Sale","Songwriter Royalties Withheld (USD)","Earnings (USD)","Recoup (USD)"
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Shoes That Float","QZES92546563","199081913924","1","100","Song","IN","0.00000","0.000760999766",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Astronaut","QZTB62431298","198663163634","417","100","Song","US","0.00000","1.486987543904",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Astronaut","QZTB62431298","198663163634","1","100","Song","SV","0.00000","0.001231999622",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Astronaut","QZTB62431298","198663163634","2","100","Song","PS","0.00000","0.000002999999",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Astronaut","QZTB62431298","198663163634","1","100","Song","MD","0.00000","0.001765999458",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Astronaut","QZTB62431298","198663163634","2","100","Song","KZ","0.00000","0.004173998719",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Astronaut","QZTB62431298","198663163634","1","100","Song","KR","0.00000","0.002657999184",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Astronaut","QZTB62431298","198663163634","1","100","Song","KG","0.00000","0.001166999642",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Astronaut","QZTB62431298","198663163634","1","100","Song","IN","0.00000","0.000267999917",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Astronaut","QZTB62431298","198663163634","3","100","Song","GT","0.00000","0.011629996432",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Astronaut","QZTB62431298","198663163634","1","100","Song","GH","0.00000","0.000906999721",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Astronaut","QZTB62431298","198663163634","2","100","Song","EG","0.00000","0.000238999926",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Astronaut","QZTB62431298","198663163634","2","100","Song","EC","0.00000","0.001514999535",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Astronaut","QZTB62431298","198663163634","1","100","Song","DO","0.00000","0.000106999967",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Great Riddance","QZTAS2416994","198669338319","40","100","Song","US","0.00000","0.146583955039",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Great Riddance","QZTAS2416994","198669338319","1","100","Song","IN","0.00000","0.000520999840",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Faire Enough","QZK6M2363877","197814381859","156","100","Song","US","0.00000","0.594991817501",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Faire Enough","QZK6M2363877","197814381859","1","100","Song","IN","0.00000","0.000061999980",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Faire Enough","QZK6M2363877","197814381859","2","100","Song","EG","0.00000","0.000238999926",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Walking Cigarette","QZK6M2363874","197814381859","21","100","Song","US","0.00000","0.065418979934",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","Walking Cigarette","QZK6M2363874","197813364631","25","100","Song","US","0.00000","0.092432971648",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","9","100","Song","ZA","0.00000","0.015409266773",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","3","100","Song","VN","0.00000","0.001975309094",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","6","100","Song","TW","0.00000","0.009082014214",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","247","100","Song","TR","0.00000","0.137593095296",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","3","100","Song","TH","0.00000","0.003723277857",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","1","100","Song","SG","0.00000","0.005443409030",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","5","100","Song","SE","0.00000","0.028153084164",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","2","100","Song","RS","0.00000","0.001505549738",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","1","100","Song","RO","0.00000","0.000356089190",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","7","100","Song","PT","0.00000","0.017342819480",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","21","100","Song","PL","0.00000","0.038768485708",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","1","100","Song","PK","0.00000","0.000459320259",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","64","100","Song","PH","0.00000","0.035397817342",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","12","100","Song","PE","0.00000","0.013030312603",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","9","100","Song","NZ","0.00000","0.030470563653",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","3","100","Song","NO","0.00000","0.008833795690",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","22","100","Song","NL","0.00000","0.082887588476",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","2","100","Song","MY","0.00000","0.002144654442",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","38","100","Song","MX","0.00000","0.045142134253",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","1","100","Song","LV","0.00000","0.000091632071",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","1","100","Song","LK","0.00000","0.000002319799",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","8","100","Song","JP","0.00000","0.018878526609",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","16","100","Song","IT","0.00000","0.020254167587",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","2","100","Song","IS","0.00000","0.018176787324",
"2026-05-27","2026-05-27","2026-03","Spotify","Socially Acceptable","SH2BA","QZK6L2663802","821430547374","2","100","Song","IL","0.00000","0.006540674093",
